Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,PE Ratio,Ent. Value,MC Group,Sector,Forward PE,Country,State,Employees,Empl. Change,Empl. Growth,Revenue,Rev. Growth 3Y,Rev. Growth 5Y,Rev Growth (Yrs),Gross Profit,GP Growth,GP Growth (Q),GP Growth 5Y,GP Growth 3Y,Net Income,Op. Income,OpInc Growth,OpInc Growth (Q),OpInc Growth 3Y,OpInc Growth 5Y,NetInc Growth,NetInc Growth (Q),NetInc Growth 3Y,NetInc Growth 5Y,NetInc Growth (Yrs),NetInc Growth (Qtrs),Total Cash,Total Debt,Rev / Employee,Prof. / Employee,Working Capital,Equity,Net WC,Rev Gr. This Y,Rev Gr. Next 5Y,Rev Gr. Next Y,Rev. Growth,Rev. Growth (Q),Rev Growth (Qtrs),Volume,Debt Growth (YoY),Debt Growth (QoQ),Debt Growth (3Y),Debt Growth (5Y),Net Cash,Net Cash Growth,Cash / M.Cap,Assets,Liabilities,Gross Margin,Oper. Margin,Pretax Margin,Profit Margin,R&D / Rev,Avg. Volume,Rel. Volume,RSI,Tax / Revenue,Rev Gr. This Q,Rev Gr. Next Q
DIBS,1stdibs.Com,240859552,5.95,-1.82%,Specialty Retail,,123457552,Micro-Cap,Consumer Discretionary,,United States,New York,237,,,84684000,1.14%,,,59573000,-11.32%,-7.66%,,2.13%,-22699000,-31027000,,,,,,,,,,2,139321000,21919000,357316,-95776,120171000,134288000,-16043000,3.27%,,7.36%,-12.56%,-8.86%,,143252,-10.34%,-2.08%,,,117402000,-9.87%,48.74%,180815000,46527000,70.35%,-36.64%,-26.79%,-26.80%,25.56%,111308,128.70%,61.26,0.02%,-2.04%,0.89%
XXII,22nd Century Group,5752574,0.13,0.08%,Tobacco,,22480574,Nano-Cap,Consumer Staples,,United States,New York,198,,,82406000,43.20%,26.71%,3,-6133000,,,,,-138655000,-131873000,,,,,,,,,,,10350000,27078000,416192,-700278,856000,13795000,11209000,31.88%,,-8.26%,62.01%,-8.11%,,2003261,216.18%,1.57%,124.69%,108.96%,-16728000,,-290.79%,64196000,50401000,-7.44%,-160.03%,-164.47%,-168.26%,8.65%,1263537,158.54%,43.69,2.66%,-9.15%,-28.22%
ME,23andMe Holding Co.,235566912,0.51,4.63%,Diagnostics & Research,,70571912,Micro-Cap,Healthcare,,United States,California,769,,,247987000,,,2,112327000,-20.66%,-35.17%,,,-521968000,-538879000,,,,,,,,,,,243817000,78822000,322480,-678762,165820000,377188000,-69616000,-25.35%,10.15%,22.10%,-19.40%,-33.15%,,4760016,-0.98%,-2.75%,-6.22%,,164995000,-53.47%,70.04%,608211000,231023000,45.30%,-217.30%,-210.72%,-210.48%,88.45%,7170729,66.38%,47.25,-0.23%,-31.48%,8.05%
TSVT,2seventy bio,254503056,5.38,8.47%,Biotechnology,,294187056,Micro-Cap,Healthcare,,United States,Massachusetts,274,,,100387000,-26.04%,,2,83469000,11.41%,-85.42%,,-29.94%,-217570000,-237373000,,,,,,,,,2,,216989000,256673000,366376,-794051,177986000,255300000,-26343000,4.23%,12.77%,29.63%,9.72%,-80.98%,,1095943,-5.00%,-1.34%,26.23%,,-39684000,,-15.59%,565426000,310126000,83.15%,-236.46%,-216.73%,-216.73%,229.87%,1481219,73.99%,57.38,,-62.55%,-45.99%
TWOU,"2U, Inc.",31592338,0.41,13.93%,Education & Training Services,,953162338,Nano-Cap,Consumer Staples,9.48,United States,Maryland,2961,,,945953000,6.89%,18.10%,,688351000,0.43%,17.98%,16.46%,8.38%,-317607000,-225803000,,,,,,,,,1,,73399000,994969000,319471,-107263,-7875000,219045000,-66116000,-12.98%,,8.66%,-1.78%,8.31%,1,3168617,-4.53%,1.57%,39.51%,209.56%,-921570000,,-2917.07%,1459683000,1240638000,72.77%,-23.87%,-33.40%,-33.58%,18.63%,2803116,113.04%,45.95,0.17%,-16.11%,-9.49%
KRKR,36Kr Holdings,15435565,0.38,-4.88%,Internet Content & Information,,6552165,Nano-Cap,Communication Services,3.35,China,,603,,,45863686,-17.24%,,1,23994438,-17.91%,-7.52%,,-9.11%,-12660660,-14099318,,,,,,,,,3,,16046103,7162703,76059,-20996,16056204,37575581,3087045,12.76%,,36.57%,-2.57%,2.49%,3,17640,138.81%,-10.89%,18.13%,,8883400,-54.89%,57.55%,66151952,27359872,52.32%,-30.74%,-27.76%,-27.60%,15.65%,35103,50.25%,46.03,0.01%,,
SCWO,374Water,161853744,1.24,1.23%,Pollution & Treatment Controls,,149051653,Micro-Cap,Industrials,,United States,North Carolina,23,,,1652655,195.94%,24.52%,1,-7569,,,,,-6712359,-7084613,,,,,,,,,,,12802091,,71855,-291842,16277928,17464984,3475837,-69.56%,,577.78%,-26.25%,-98.67%,,38688,,,,,12802091,52.36%,7.91%,18030071,565087,-0.46%,-428.68%,-406.16%,-406.16%,80.62%,114501,33.79%,45.05,,,
DDD,3D Systems,567880768,4.45,4.71%,Computer Hardware,,655825768,Small-Cap,Technology,,United States,South Carolina,2032,,,505953000,-3.12%,-5.86%,,207094000,-8.29%,5.09%,-8.75%,-2.75%,-95573000,-106753000,,,,,,,,,,2,445554000,533499000,248993,-47034,601785000,699538000,166915000,-6.17%,,-3.64%,-9.03%,-6.40%,,2064601,6.90%,1.51%,91.88%,136.48%,-87945000,,-15.49%,1392754000,691288000,40.93%,-21.10%,-18.96%,-18.89%,17.96%,1712380,120.57%,45.71,-0.07%,-3.64%,-9.63%
MMM,3M Company,56723603456,104.59,1.91%,Conglomerates,,67531603456,Large-Cap,Industrials,10.81,United States,Minnesota,85000,-7000,-7.61%,32681000000,0.51%,-0.05%,,14204000000,-5.29%,-4.55%,-2.45%,-3.03%,-6995000000,-9128000000,,96.68%,,,,74.68%,,,,1,5986000000,16794000000,384482,-82294,1082000000,4807000000,-1732000000,-1.55%,4.65%,3.32%,-4.52%,-0.82%,,3874826,0.08%,-0.02%,-5.12%,2.81%,-10808000000,,-19.05%,50580000000,45712000000,43.46%,-27.93%,-29.64%,-21.40%,5.64%,5057849,76.61%,61.65,-8.23%,-3.87%,-2.34%
FDMT,4D Molecular Therapeutics,1778820480,35.87,5.35%,Biotechnology,,1505259480,Small-Cap,Healthcare,,United States,California,147,7,5.00%,20723000,15.04%,,1,20723000,562.29%,,,15.04%,-100837000,-112867000,,,,,,,,,1,,288232000,14671000,140973,-685966,277637000,307829000,-7446000,-72.21%,66.07%,49.85%,562.29%,,,716828,-9.01%,-3.21%,,,273561000,38.56%,15.38%,339891000,32062000,100.00%,-544.65%,-486.59%,-486.59%,468.54%,1141583,62.79%,73.69,,188.20%,244.50%
COE,51 Talk Online Education Group,44992524,7.89,9.58%,Education & Training Services,,41843412,Nano-Cap,Consumer Staples,3.03,China,,171,,,27299000,,-30.64%,2,2902668,76.96%,45.17%,-28.09%,,-13977000,-1928793,,,,,,,,,1,,3236426,87314,159643,-81737,-1143660,-983700,-4298445,,,,81.41%,51.63%,5,3458,-14.03%,2.60%,-64.69%,-42.74%,3149112,1.94%,7.00%,4290557,5274257,10.63%,-7.07%,-7.12%,-51.20%,1.57%,4163,83.07%,65.10,-0.03%,,
FEAM,5E Advanced Materials,79107248,1.34,7.20%,Specialty Chemicals,,119597248,Micro-Cap,Materials,,United States,California,43,,,,,,,,,,,,-40353000,-33563000,,,,,,,,,1,1,2045000,42535000,,-938442,-5470000,34992000,-7411000,,,292.16%,,,,138050,27.48%,3.41%,,,-40490000,,-51.18%,87139000,52147000,,,,,,210655,65.53%,49.06,,,
SXTP,60 Degrees Pharmaceuticals,2803177,0.26,3.16%,Biotechnology,,772803,Nano-Cap,Healthcare,,United States,District of Columbia,2,,,-209260,,,,,,,,,-3428462,,,,,,,,,,,1,2218540,188166,,-1714231,6413427,6554355,4230459,209.21%,,253.35%,,-75.43%,,157441,,-99.29%,,,2030374,,72.43%,9150212,2633962,,,,1638.37%,,355909,44.24%,42.16,,,539.16%
ETNB,89bio,1058424192,11.31,0.98%,Biotechnology,,506662192,Small-Cap,Healthcare,,United States,California,70,,,,,,,,,,,,-142189000,-151204000,,,,,,,,,,,578870000,27108000,,-2031271,563923000,536306000,-14451000,,,172.19%,,,,964368,31.94%,9.02%,,,551762000,229.19%,52.13%,596269000,59963000,,,,,,1368095,70.49%,46.71,,,
EGHT,"8x8, Inc.",325831456,2.74,3.79%,Software - Application,,699020456,Small-Cap,Technology,6.56,United States,California,1921,,,733821000,12.96%,16.76%,13,510632000,5.06%,-1.61%,22.19%,21.82%,-53432000,-9851000,,,,,,,,,1,7,169904000,543093000,381999,-27815,71944000,109672000,-22937000,-0.18%,,0.78%,-0.94%,-1.84%,,618273,-5.80%,-0.22%,10.53%,,-373189000,,-114.53%,826718000,717046000,69.59%,-1.34%,-6.83%,-7.28%,18.91%,1580919,39.11%,44.42,0.46%,-1.15%,0.89%
MASS,908 Devices,217205344,6.95,5.30%,Medical Devices,,77468344,Micro-Cap,Healthcare,,United States,Massachusetts,230,,,50229000,23.15%,,4,25322000,-2.69%,22.85%,,19.27%,-36399000,-42758000,,,,,,,,,,1,145682000,5945000,218387,-158257,151241000,165491000,7575000,12.73%,,23.41%,7.21%,23.26%,1,186184,-69.53%,-7.11%,-35.21%,,139737000,-17.27%,64.33%,202981000,37490000,50.41%,-85.13%,-72.89%,-72.47%,43.61%,183724,101.34%,49.50,-0.42%,-0.09%,3.56%
NNAG,99 Acquisition Group,133384990,10.30,0.10%,Shell Companies,,,Micro-Cap,Financials,,United States,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308,,,,,,,,,,,,,,,31913,10.37%,60.00,,,
JFU,9F Inc.,42383880,3.50,-1.41%,Information Technology Services,,-282785685,Nano-Cap,Technology,1.32,China,,331,,,102957182,,,,93339975,-16.41%,,,,-83662983,29563599,,,,,,,,,,,327427393,2257828,311049,-252758,,496646189,,,,,-7.54%,,,5155,-36.27%,96.22%,,,325169565,5.46%,767.20%,580388942,76168140,90.66%,28.71%,-78.28%,-81.26%,,6854,75.21%,56.18,3.12%,,
ASCA,A SPAC I Acquisition,32979260,8.72,-1.58%,Shell Companies,,-4267821,Nano-Cap,Financials,,Singapore,,,,,,,,,,,,,,706268,-855425,,,,,,,,,1,3,37762081,515000,,,34695923,-3062725,-2551158,,,,,,,312,28.75%,,,,37247081,11322.75%,112.94%,37908400,3212477,,,,,,18959,1.65%,36.26,,,
ASCB,A SPAC II Acquisition,81719680,11.25,0.54%,Shell Companies,,-127749755,Micro-Cap,Financials,,Singapore,,3,,,,,,,,,,,,4444613,-622009,,,,,,,,,1,1,209469435,,,1481538,202485204,-6060566,-6984231,,,,,,,151,,,,,209469435,,256.33%,209542514,7057310,,,,,,7540,2.00%,55.67,,,
AMRK,A-Mark Precious Metals,675076224,30.05,6.07%,Capital Markets,6.35,1334118224,Small-Cap,Financials,6.62,United States,California,413,,,9999938000,16.59%,9.24%,4,249554000,-11.00%,-28.03%,52.75%,33.28%,110347000,146944000,-19.86%,-47.78%,30.75%,,-28.03%,-58.88%,21.74%,,1,,160805000,819847000,24212925,267184,620621000,583759000,981663000,-1.63%,7.83%,13.18%,24.24%,6.62%,5,344976,18.73%,8.62%,14.90%,21.63%,-659042000,,-97.62%,1623858000,1038478000,2.50%,1.47%,1.44%,1.10%,,241583,142.80%,66.45,0.33%,-10.80%,-22.64%
AOS,A. O. Smith,12923896832,88.85,1.10%,Specialty Industrial Machinery,24.08,12715696832,Large-Cap,Industrials,21.67,United States,Wisconsin,12000,,,3852800000,9.99%,3.86%,3,1484800000,11.67%,6.08%,2.61%,10.24%,556600000,738600000,12.13%,1.06%,18.83%,6.27%,136.15%,,17.30%,4.61%,1,4,363400000,155200000,321067,46383,555000000,1844400000,201600000,5.12%,5.92%,3.98%,2.63%,5.55%,2,656728,-57.70%,-0.26%,1.69%,-6.86%,208200000,81.20%,1.61%,3213900000,1369500000,38.54%,19.17%,19.04%,14.45%,,932732,70.41%,64.30,4.59%,4.10%,5.95%
AKA,a.k.a. Brands Holding,102175696,9.79,0.62%,Specialty Retail,,214394696,Micro-Cap,Consumer Discretionary,17.18,United States,California,1300,,,546258000,36.26%,,,300280000,-10.96%,-2.91%,,33.43%,-98886000,-83409000,,,,,,,,,1,1,24029000,136248000,420198,-76066,49734000,148618000,36515000,7.97%,4.43%,1.65%,-10.70%,-0.14%,,1737,-26.23%,-8.56%,132.44%,,-112219000,,-109.83%,361721000,213103000,54.97%,-15.27%,-17.75%,-18.10%,,8114,21.41%,45.74,0.35%,-8.17%,-0.51%
ATEN,A10 Networks,1007176448,13.68,1.18%,Software - Infrastructure,25.81,847876448,Small-Cap,Technology,17.23,United States,California,525,,,251700000,3.73%,1.62%,,203738000,-8.84%,-7.67%,2.47%,5.12%,39970000,38648000,-27.19%,10.70%,29.65%,,-14.79%,-0.63%,30.91%,,,,159300000,,479429,76133,160755000,207876000,1455000,6.88%,,8.46%,-10.22%,-9.30%,,254652,,,,,159300000,5.50%,15.82%,389809000,181933000,80.94%,15.35%,17.40%,15.88%,21.94%,717995,35.47%,50.97,1.52%,5.08%,-1.55%
AZ,A2Z Smart Technologies,18950502,0.60,30.90%,Aerospace & Defense,,19146502,Nano-Cap,Industrials,,Canada,,201,,,15754000,,,2,4817000,116.69%,-2.14%,,,-18946000,-16291000,,,,,,,,,1,1,1728000,1924000,78378,-94259,169000,3343000,-187000,90.20%,,-16.25%,100.10%,-1.09%,,282195,26.91%,-10.43%,52.27%,,-196000,,-1.03%,10187000,10648000,30.58%,-103.41%,-120.26%,-120.26%,28.74%,82395,342.49%,34.11,,-11.90%,-89.49%
AADI,Aadi Bioscience,54019240,2.37,7.73%,Biotechnology,,-53558760,Micro-Cap,Healthcare,,United States,California,89,,,24354000,18.65%,3.85%,2,21545000,55.21%,7.87%,1.34%,13.90%,-65765000,-71933000,,,,,,,,,,,108845000,1267000,273640,-738933,98191000,105195000,-10220000,14.01%,62.55%,14.42%,60.06%,21.03%,5,276909,-23.72%,-7.45%,-50.20%,,107578000,-37.05%,199.15%,132423000,27228000,88.47%,-295.36%,-270.04%,-270.04%,200.91%,422749,65.50%,61.50,,12.20%,13.25%
AAON,"AAON, Inc.",7062527488,86.67,0.12%,Building Products & Equipment,40.69,7091832488,Mid-Cap,Industrials,37.35,United States,Oklahoma,3856,190,5.18%,1168518000,31.44%,21.91%,13,399020000,67.96%,42.27%,30.97%,36.80%,177623000,227494000,79.47%,37.10%,30.72%,32.67%,76.96%,20.95%,31.00%,33.22%,2,6,9023000,38328000,303039,46064,282205000,735224000,273182000,11.08%,,13.02%,31.47%,20.44%,11,232675,-46.02%,-51.12%,,,-29305000,,-0.41%,941436000,206212000,34.15%,19.47%,19.10%,15.20%,,406688,57.21%,62.51,3.90%,9.23%,12.72%
AIR,AAR Corp.,2124917504,60.18,0.33%,Aerospace & Defense,35.54,2389017504,Mid-Cap,Industrials,16.44,United States,Illinois,5000,500,11.11%,2215700000,10.75%,2.46%,2,423100000,20.27%,16.97%,5.81%,20.72%,60400000,107400000,-20.44%,-11.44%,27.60%,3.30%,-33.55%,-35.78%,125.04%,,3,,83600000,347700000,443140,12080,812500000,1168000000,728900000,15.65%,,10.77%,15.81%,8.87%,6,216330,46.34%,-0.14%,9.23%,14.43%,-264100000,,-12.43%,2021800000,853800000,19.10%,4.85%,3.38%,2.73%,,323740,66.82%,36.88,0.65%,3.97%,20.00%
ABL,Abacus Life,784270528,11.66,-4.50%,Insurance - Life,72.88,898164268,Small-Cap,Financials,,United States,Florida,102,,,66401451,,,2,59911074,54.30%,70.99%,,,9516626,25112828,-27.84%,-71.85%,,,-69.96%,,,,,,27841559,141735299,650995,93300,8450503,163931793,-6243366,,,,48.50%,58.72%,5,14886,400.35%,19.12%,,,-113893740,,-14.52%,331826067,167755991,90.23%,37.82%,16.54%,14.33%,,41960,35.48%,45.42,2.21%,,
ABT,Abbott Laboratories,193472577536,113.48,1.78%,Medical Devices,34.81,200872577536,Large-Cap,Healthcare,24.36,United States,Illinois,114000,-1000,-0.87%,40109000000,5.04%,5.58%,,22134000000,-9.70%,3.40%,4.37%,4.13%,5723000000,6478000000,-22.53%,36.50%,6.54%,12.16%,-17.45%,54.31%,8.38%,19.30%,,2,7279000000,14679000000,351833,50202,8829000000,38827000000,2630000000,5.79%,6.90%,7.23%,-8.12%,1.49%,1,5427085,-12.48%,-5.47%,-7.83%,-5.59%,-7400000000,,-3.82%,73214000000,34387000000,55.18%,16.15%,16.61%,14.27%,6.83%,5647836,96.09%,45.30,2.35%,2.49%,6.16%
ABBV,AbbVie,317690019840,180.35,0.65%,Drug Manufacturers - General,66.31,364259019840,Mega-Cap,Healthcare,15.80,United States,Illinois,50000,,,54318000000,5.85%,10.65%,,33903000000,-16.58%,-21.50%,6.25%,3.68%,4863000000,12757000000,-29.59%,-41.93%,3.93%,14.85%,-58.91%,-66.76%,1.75%,-3.08%,,,12816000000,59385000000,1086360,97260,-4839000000,10360000000,-10464000000,2.42%,3.46%,6.15%,-6.44%,-5.42%,,5056428,-6.14%,-2.24%,-11.63%,8.06%,-46569000000,,-14.66%,134711000000,124314000000,62.42%,23.49%,11.49%,8.95%,14.13%,5640470,89.65%,58.53,2.54%,-0.14%,-0.51%
ABCL,AbCellera Biologics,1308735488,4.49,4.66%,Biotechnology,,594372488,Small-Cap,Healthcare,27.47,Canada,,586,91,18.38%,38025000,-45.36%,,,38025000,-92.17%,-57.40%,,-45.36%,-146398000,-237207000,,,,,,,,,,,785585000,71222000,64889,-249826,752972000,1152318000,-32613000,28.30%,36.86%,43.05%,-92.17%,-57.40%,,1312659,-7.11%,-5.27%,167.64%,,714363000,-14.43%,54.58%,1488094000,335776000,100.00%,-623.82%,-457.67%,-385.00%,461.95%,1462340,89.76%,39.99,-72.67%,-7.82%,16.94%
ABEO,Abeona Therapeutics,201332800,7.34,-0.27%,Biotechnology,,154168800,Micro-Cap,Healthcare,,United States,Ohio,84,,,3500000,-29.53%,3.14%,1,3500000,147.52%,,3.14%,-29.53%,-54188000,-45530000,,,,,,,,,,,52564000,5400000,41667,-645095,42315000,14826000,-9251000,295.40%,142.74%,374.60%,147.52%,,,130966,-29.20%,-5.13%,-14.80%,,47164000,5.14%,23.43%,64002000,49176000,100.00%,-1300.86%,-1548.23%,-1548.23%,888.31%,344260,38.04%,49.98,,,-92.71%
ANF,Abercrombie & Fitch Co.,6219075072,121.36,-0.50%,Apparel Retail,30.34,6671567072,Mid-Cap,Consumer Discretionary,17.23,United States,Ohio,29600,-1900,-6.03%,4027584000,8.11%,2.11%,,2448128000,15.84%,31.65%,2.40%,8.79%,208009000,348892000,236.25%,686.75%,,20.38%,593.55%,,,32.05%,,3,649489000,1101981000,136067,7027,414261000,866108000,-40203000,16.26%,,4.00%,10.06%,20.04%,4,1000953,-9.40%,-6.70%,-11.86%,30.05%,-452492000,,-7.28%,2897646000,2021533000,60.78%,8.66%,8.26%,5.16%,,1716306,58.32%,46.51,3.09%,-17.43%,72.61%
ABTS,Abits Group,25800000,0.80,2.18%,Capital Markets,,24261169,Nano-Cap,Financials,,China,,12,,,131278,-23.25%,21.91%,,-329301,,,,,-24101116,-23508053,,,,,,,,,,,1538831,,10940,-2008426,,20460178,,,,,-81.35%,,,1672935,,,,,1538831,-55.88%,5.96%,21001534,541356,-250.84%,-17907.08%,-18358.84%,-18358.84%,,,,44.55,,,
ABVX,Abivax,705305152,14.79,-0.34%,Biotechnology,,642604365,Small-Cap,Healthcare,,United States,I0,26,,,,,,,,,,,,,,,,,,,,,,,,123723885,61023098,,,91033288,87063514,-18987848,,,1.90%,,,,167667,,13.29%,,,62700787,,8.89%,185055263,97991749,,,,,,127500,131.50%,59.20,,,
ABLV,Able View,111396544,2.24,-8.20%,Advertising Agencies,0.18,117379986,Micro-Cap,Communication Services,,Hong Kong,,112,,,226920157,,,1,52207762,,,,,13103237,18231080,,,,,,,,,,,6149339,12132781,2026073,116993,35989580,7987572,40581468,,,,,,,112725,5146.97%,-24.19%,,,-5983442,,-5.37%,58791943,47548590,23.01%,8.03%,7.28%,5.77%,,72160,156.22%,21.02,1.10%,,
ABM,ABM Industries,2768370432,44.41,1.53%,Specialty Business Services,11.36,4165170432,Mid-Cap,Industrials,13.48,United States,New York,123000,-4000,-3.15%,8174700000,11.69%,4.82%,3,1060500000,4.59%,0.75%,8.74%,5.84%,257500000,412100000,31.16%,3.78%,37.13%,22.53%,33.49%,16.10%,76.41%,25.44%,3,4,58000000,1454800000,66461,2093,558600000,1822700000,562600000,1.37%,,1.85%,3.98%,3.93%,12,457974,-4.10%,0.85%,19.62%,8.05%,-1396800000,,-50.46%,4955400000,3132700000,12.97%,5.04%,4.07%,3.15%,,575565,79.57%,63.51,0.92%,2.47%,-0.45%
ABSI,Absci,587609856,5.54,6.33%,Biotechnology,,489714856,Small-Cap,Healthcare,,United States,Washington,155,,,5718000,6.15%,,,5718000,-0.50%,-78.29%,,6.15%,-110566000,-115515000,,,,,,,,,,,113852000,15957000,36890,-713329,91020000,176176000,-17254000,281.39%,81.37%,73.26%,-0.50%,-78.29%,,1443862,-30.57%,-10.09%,3.24%,,97895000,-37.44%,16.66%,217298000,41122000,100.00%,-2020.20%,-1931.90%,-1933.65%,840.63%,1606131,89.90%,60.76,1.75%,7.17%,-34.36%
